data,ticker,preco_fechamento,capturado_em_utc
2026-07-21,IFRI11,101.97,2026-07-21T19:18:15.474724+00:00
2026-07-21,JURO11,97.89,2026-07-21T19:18:15.474724+00:00
2026-07-21,KNIP11,91.95,2026-07-21T19:18:15.474724+00:00
2026-07-21,MANA11,9.08,2026-07-21T19:18:15.474724+00:00
2026-07-21,OGIN11,7.72,2026-07-21T19:18:15.474724+00:00
2026-07-21,PFIN11,62.99,2026-07-21T19:18:15.474724+00:00
2026-07-21,PPEI11,84.23,2026-07-21T19:18:15.474724+00:00
2026-07-21,RBIR11,72.58,2026-07-21T19:18:15.474724+00:00
2026-07-21,SNEL11,8.36,2026-07-21T19:18:15.474724+00:00
2026-07-21,TEPP11,7.94,2026-07-21T19:18:15.474724+00:00
2026-07-21,TRXF11,91.37,2026-07-21T19:18:15.474724+00:00
2026-07-21,VIGT11,48.5,2026-07-21T19:18:15.474724+00:00
2026-07-21,XPID11,48.69,2026-07-21T19:18:15.474724+00:00
2026-07-21,XPIE11,43.38,2026-07-21T19:18:15.474724+00:00
2026-07-21,XPML11,104.22,2026-07-21T19:18:15.474724+00:00
2026-07-21,AMZO34,62.75,2026-07-21T19:18:15.474724+00:00
2026-07-21,AUAU3,3.09,2026-07-21T19:18:15.474724+00:00
2026-07-21,LWSA3,3.75,2026-07-21T19:18:15.474724+00:00
2026-07-21,MGLU3,4.83,2026-07-21T19:18:15.474724+00:00
2026-07-21,TASA4,4.75,2026-07-21T19:18:15.474724+00:00
2026-07-21,ALOS3,26.97,2026-07-21T19:21:14.833622+00:00
2026-07-21,COIN11,40.18,2026-07-21T19:21:14.833622+00:00
2026-07-21,NASD11,20.56,2026-07-21T19:21:14.833622+00:00
2026-07-21,SPYI11,106.86,2026-07-21T19:21:14.833622+00:00
2026-07-21,LFTB11,124.01,2026-07-21T19:21:14.833622+00:00
2026-07-21,LFTS11,156.62,2026-07-21T19:21:14.833622+00:00
2026-07-21,BDIF11,71.9,2026-07-21T19:21:14.833622+00:00
2026-07-21,BDIV11,37.44,2026-07-21T19:21:14.833622+00:00
2026-07-21,BODB11,7.73,2026-07-21T19:21:14.833622+00:00
2026-07-21,BRZP11,180.95,2026-07-21T19:21:14.833622+00:00
2026-07-21,CPTI11,85.61,2026-07-21T19:21:14.833622+00:00
2026-07-21,ENDD11,109,2026-07-21T19:21:14.833622+00:00
2026-07-21,FATN11,80.01,2026-07-21T19:21:14.833622+00:00
2026-07-21,FATN12,0.03,2026-07-21T19:21:14.833622+00:00
2026-07-21,GARE11,8.16,2026-07-21T19:21:14.833622+00:00
2026-07-21,HGCR11,93.56,2026-07-21T19:21:14.833622+00:00
2026-07-21,IFRA11,93.6,2026-07-21T19:21:14.833622+00:00
2026-07-21,IFRI11,101.74,2026-07-21T19:21:14.833622+00:00
2026-07-21,JURO11,97.89,2026-07-21T19:21:14.833622+00:00
2026-07-21,KNIP11,91.85,2026-07-21T19:21:14.833622+00:00
2026-07-21,MANA11,9.08,2026-07-21T19:21:14.833622+00:00
2026-07-21,OGIN11,7.72,2026-07-21T19:21:14.833622+00:00
2026-07-21,PFIN11,62.99,2026-07-21T19:21:14.833622+00:00
2026-07-21,PPEI11,84.23,2026-07-21T19:21:14.833622+00:00
2026-07-21,RBIR11,72.58,2026-07-21T19:21:14.833622+00:00
2026-07-21,SNEL11,8.35,2026-07-21T19:21:14.833622+00:00
2026-07-21,TEPP11,7.92,2026-07-21T19:21:14.833622+00:00
2026-07-21,TRXF11,91.36,2026-07-21T19:21:14.833622+00:00
2026-07-21,VIGT11,48.51,2026-07-21T19:21:14.833622+00:00
2026-07-21,XPID11,48.69,2026-07-21T19:21:14.833622+00:00
2026-07-21,XPIE11,43.07,2026-07-21T19:21:14.833622+00:00
2026-07-21,XPML11,104.24,2026-07-21T19:21:14.833622+00:00
2026-07-21,AMZO34,62.75,2026-07-21T19:21:14.833622+00:00
2026-07-21,AUAU3,3.09,2026-07-21T19:21:14.833622+00:00
2026-07-21,LWSA3,3.77,2026-07-21T19:21:14.833622+00:00
2026-07-21,MGLU3,4.83,2026-07-21T19:21:14.833622+00:00
2026-07-21,TASA4,4.75,2026-07-21T19:21:14.833622+00:00
2026-07-21,ALOS3,27.1,2026-07-21T22:27:53.351054+00:00
2026-07-21,COIN11,39.85,2026-07-21T22:27:53.351054+00:00
2026-07-21,NASD11,20.57,2026-07-21T22:27:53.351054+00:00
2026-07-21,SPYI11,106.92,2026-07-21T22:27:53.351054+00:00
2026-07-21,LFTB11,124.01,2026-07-21T22:27:53.351054+00:00
2026-07-21,LFTS11,156.64,2026-07-21T22:27:53.351054+00:00
2026-07-21,BDIF11,72.15,2026-07-21T22:27:53.351054+00:00
2026-07-21,BDIV11,37.3,2026-07-21T22:27:53.351054+00:00
2026-07-21,BODB11,7.75,2026-07-21T22:27:53.351054+00:00
2026-07-21,BRZP11,180,2026-07-21T22:27:53.351054+00:00
2026-07-21,CPTI11,85.62,2026-07-21T22:27:53.351054+00:00
2026-07-21,ENDD11,108.6,2026-07-21T22:27:53.351054+00:00
2026-07-21,FATN11,80.13,2026-07-21T22:27:53.351054+00:00
2026-07-21,FATN12,0.03,2026-07-21T22:27:53.351054+00:00
2026-07-21,GARE11,8.17,2026-07-21T22:27:53.351054+00:00
2026-07-21,HGCR11,93.4,2026-07-21T22:27:53.351054+00:00
2026-07-21,IFRA11,93.33,2026-07-21T22:27:53.351054+00:00
2026-07-21,IFRI11,101.51,2026-07-21T22:27:53.351054+00:00
2026-07-21,JURO11,97.76,2026-07-21T22:27:53.351054+00:00
2026-07-21,KNIP11,92.04,2026-07-21T22:27:53.351054+00:00
2026-07-21,MANA11,9.13,2026-07-21T22:27:53.351054+00:00
2026-07-21,OGIN11,7.72,2026-07-21T22:27:53.351054+00:00
